DateTime,Entries,UniqueIPs
1521335327,3779,3877
1521357407,3575,3663
1521379487,3454,3539
1521401915,3351,3431
1521424125,3223,3303
1521446476,3114,3192
1521468762,2984,3061
1521490729,2801,2873
1521512660,2651,2719
1521534756,2458,2517
1521557064,2391,2450
1521578909,2368,2427
1521600997,2280,2334
1521622885,2182,2233
1521644906,2071,2114
1521667086,2018,2059
1521689077,2083,2127
1521711368,2115,2157
1521733258,2103,2146
1521755298,2022,2062
1521777276,2056,2100
1521799853,2129,2177
1521822027,2210,2261
1521844103,2333,2390
1521865951,2441,2500
1521888031,2536,2599
1521910119,2622,2685
1521932006,2670,2734
1521954027,2683,2747
1521975867,2765,2835
1521997861,2834,2907
1522019799,2940,3017
1522042005,3001,3084
1522063957,3076,3162
1522086033,3107,3196
1522108119,3184,3281
1522130188,3268,3368
1522152133,3346,3449
1522174348,3389,3498
1522196213,3419,3529
1522218331,3478,3593
1522240490,3556,3673
1522262440,3614,3733
1522284288,3647,3766
1522306351,3636,3753
1522328198,3622,3737
1522350053,3592,3709
1522372139,3572,3689
1522394208,3555,3669
1522416292,3589,3702
1522438178,3551,3666
1522460213,3516,3628
1522482284,3467,3583
1522504370,3460,3574
1522526520,3444,3556
1522548533,3452,3562
1522570458,3513,3625
1522592444,3489,3598
1522614536,3489,3595
1522636859,3402,3503
1522659133,3350,3448
1522680991,3338,3431
1522703024,3341,3432
1522724936,3343,3430
1522747019,3328,3413
1522768928,3287,3373
1522790917,3313,3399
1522813010,3361,3450
1522835089,3359,3448
1522857312,3331,3421
1522879343,3360,3450
1522901581,3307,3394
1522923464,3315,3401
1522945461,3309,3397
1522989209,3256,3339
1523011565,3248,3332
1523033454,3276,3365
1523055765,3334,3422
1523077721,3342,3434
1523100017,3355,3450
1523121875,3373,3468
1523143988,3438,3536
1523166032,3422,3519
1523187881,3375,3472
1523210024,3351,3445
1523232058,3333,3426
1523254107,3374,3469
1523275979,3372,3465
1523298053,3312,3403
1524071369,4212,4319
1524093956,4273,4383
1524115975,4307,4421
1524138043,4368,4491
1524159894,4428,4553
1524181964,4490,4617
1524204044,4537,4664
1524226125,4604,4732
1524247999,4694,4825
1524270050,4771,4905
1524291895,4849,4984
1524313967,4913,5048
1524336049,4971,5107
1524357913,5024,5160
1524379991,5092,5229
1524402053,5170,5312
1524424156,5238,5380
1524446071,5293,5437
1524468298,5345,5489
1524490358,5397,5543
1524512681,5446,5593
1524534774,5493,5641
1524556615,5530,5681
1524578895,5570,5723
1524600777,5627,5782
1524622844,5662,5818
1524644911,5699,5856
1524667015,5797,5958
1524689008,3626,3719
1524711164,3719,3815
1524733028,3814,3913
1524754951,3842,3941
1524776946,3857,3956
1524799006,3873,3969
1524820858,3917,4013
1524842939,3925,4020
1524865227,3898,3990
1524887080,3879,3971
1524908924,3839,3929
1524931009,3868,3957
1524953092,3938,4026
1524975230,3976,4068
1524997231,3997,4092
1525019391,4034,4131
1525041638,4082,4183
1525063958,4101,4206
1525086048,4158,4264
1525108118,4224,4332
1525130227,4375,4488
1525152279,4475,4589
1525174358,4568,4681
1525196435,4551,4662
1525218341,4532,4644
1525240370,4538,4649
1525262475,4578,4685
1525284471,4573,4685
1525306403,4563,4674
1525328445,4580,4696
1525350408,4611,4730
1525372371,4729,4855
1525394215,4818,4947
1525416268,4855,4986
1525438372,4886,5019
1525460473,4882,5016
1525482522,4936,5069
1525504391,5006,5141
1525526439,5073,5212
1525548311,5054,5193
1525570371,5003,5137
1525592231,4992,5122
1525614290,5024,5157
1525636382,5050,5185
1525658457,5022,5157
1525680575,5006,5144
1525702627,4982,5127
1525724942,4939,5082
1525747022,4808,4951
1525769157,4703,4843
1525791180,4629,4767
1525813261,4684,4822
1525835104,4739,4880
1525857173,4771,4915
1525879157,4744,4886
1525901060,4702,4837
1525923167,4691,4821
1525945251,4596,4725
1525967097,4534,4658
1525989189,4436,4560
1526011264,4340,4462
1526033108,4299,4416
1526054978,4263,4379
1526077141,4245,4366
1526099080,4228,4349
1526121315,4143,4264
1526143253,4122,4237
1526165363,4099,4214
1526187435,4095,4210
1526209705,4060,4178
1526231612,4023,4142
1526253652,3992,4110
1526275846,3962,4074
1526297826,3986,4100
1526320123,4031,4142
1526342207,4099,4206
1526364289,4161,4269
1526386253,4261,4374
1526408292,4283,4399
1526430530,4318,4438
1526452613,4318,4440
1526474880,4337,4461
1526497020,4355,4473
1526518920,4322,4440
1526541185,4301,4418
1526563577,4307,4417
1526585590,4320,4432
1526607654,4328,4436
1526629722,4343,4451
1526651875,4356,4464
1526674145,4395,4505
1526696033,4422,4528
1526718141,4385,4491
1526740379,4439,4552
1526762444,4456,4575
1526784751,4466,4590
1526807076,4425,4545
1526829153,4501,4623
1526851227,4538,4658
1526873336,4563,4681
1526895395,4651,4773
